line_file,offset,jitter_x_cm,jitter_x_norm,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon_txt.started,polygon_txt.stopped,text.started,text.stopped,resp_txt.keys,resp_txt.rt,resp_txt.started,resp_txt.stopped,polygon.started,polygon.stopped,image.started,image.stopped,resp.keys,resp.rt,resp.started,resp.stopped,polygon_txt_after_training.started,polygon_txt_after_training.stopped,text_after_train.started,text_after_train.stopped,key_resp_after_training.keys,key_resp_after_training.rt,key_resp_after_training.started,key_resp_after_training.stopped,polygon_end.started,polygon_end.stopped,text_end.started,text_end.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/l8.png,-8,-0.15,-0.01875,,,,,0,15,15,1,,,,,,,,,112.25285239994992,None,112.74059619999025,None,left,0.5853316999855451,112.94028459995752,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,0.15,0.01875,,,,,0,16,16,18,,,,,,,,,113.56361989997094,None,114.05886439996539,None,right,1.9071605000062846,114.25844859995414,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.3,0.0375,,,,,0,17,17,44,,,,,,,,,116.20903029997135,None,116.69453300000168,None,right,1.5914232000359334,116.894278199994,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,-0.3,-0.0375,,,,,0,18,18,5,,,,,,,,,118.5281501999707,None,119.01352239999687,None,left,1.5918695000000298,119.21373319998384,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,0.3,0.0375,,,,,0,19,19,39,,,,,,,,,120.85221289994661,None,121.34943259996362,None,right,1.560590599954594,121.54900889995042,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,0.0,0.0,,,,,0,20,20,27,,,,,,,,,123.1547806999879,None,123.65147089998936,None,right,2.2349158999859355,123.85125979996519,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l2.png,-2,0.0,0.0,,,,,0,21,21,12,,,,,,,,,126.12007239996456,None,126.62108569999691,None,left,0.7532881000079215,126.80418769997777,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,-0.15,-0.01875,,,,,0,22,22,26,,,,,,,,,127.59763799997745,None,128.08911549998447,130.5900338999927,left,2.6448376000043936,128.28886469994904,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.0,0.0,,,,,0,23,23,42,,,,,,,,,130.98181839997414,None,131.47601509996457,None,right,0.9694335000240244,131.67614919994958,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,-0.15,-0.01875,,,,,0,24,24,36,,,,,,,,,132.6906714999932,None,133.1777951999684,None,right,0.7239739000215195,133.3776297000004,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,0.15,0.01875,,,,,0,25,25,33,,,,,,,,,134.1484480999643,None,134.6458620999474,None,right,0.9040151999797672,134.84556980000343,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,0.15,0.01875,,,,,0,26,26,33,,,,,,,,,135.7963541999925,None,136.29744279995793,None,right,0.7731010999996215,136.48047449998558,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,-0.3,-0.0375,,,,,0,27,27,40,,,,,,,,,137.30203249998158,None,137.7991778999567,None,right,0.5187685000128113,137.99883719999343,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,-0.15,-0.01875,,,,,0,28,28,6,,,,,,,,,138.54822469997453,None,139.03350049996516,None,left,2.036392399983015,139.23318599996855,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,0.0,0.0,,,,,0,29,29,32,,,,,,,,,141.30654659995344,None,141.80294249998406,None,left,0.5636679000454023,142.002680399979,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,0.0,0.0,,,,,0,30,30,7,,,,,,,,,142.59946299996227,None,143.08769789995858,None,left,1.7901758000371046,143.28741509997053,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/0.png,0,0.15,0.01875,,,,,0,31,31,23,,,,,,,,,145.12212209997233,None,145.60686909995275,None,left,1.6070694000227377,145.80653149995487,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,-0.3,-0.0375,,,,,0,32,32,0,,,,,,,,,147.462153499946,None,147.95928619999904,None,left,0.5507500999956392,148.15890699997544,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,-0.3,-0.0375,,,,,0,33,33,0,,,,,,,,,148.7463423999725,None,149.24399009998888,None,left,0.6582890000427142,149.44330929999705,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r2.png,2,0.3,0.0375,,,,,0,34,34,34,,,,,,,,,150.14009059994714,None,150.62821939995047,None,left,0.6012886000098661,150.82830239995383,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/0.png,0,-0.15,-0.01875,,,,,0,35,35,21,,,,,,,,,151.4619480999536,None,151.9464482999756,None,right,0.48355089995311573,152.14635479997378,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,-0.15,-0.01875,,,,,0,36,36,36,,,,,,,,,152.66382539999904,None,153.16428839997388,None,right,0.7057333000120707,153.36393249995308,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,-0.15,-0.01875,,,,,0,37,37,6,,,,,,,,,154.12004109995905,None,154.61579640000127,None,right,1.0464715999551117,154.81556989997625,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l8.png,-8,0.0,0.0,,,,,0,38,38,2,,,,,,,,,155.90583399997558,None,156.40091809997102,None,left,0.4134957999922335,156.60061569995014,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l1.png,-1,-0.3,-0.0375,,,,,0,39,39,15,,,,,,,,,157.05010999995284,None,157.53533149999566,None,left,1.5672175000072457,157.7350450999802,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l2.png,-2,0.3,0.0375,,,,,0,40,40,14,,,,,,,,,159.3356316999998,None,159.820991399989,None,left,1.5049373999936506,160.02060889999848,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,0.3,0.0375,,,,,0,41,41,9,,,,,,,,,161.57626639999216,None,162.07315159996506,None,left,1.6525578000000678,162.27299189998303,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/0.png,0,0.3,0.0375,,,,,0,42,42,24,,,,,,,,,163.95748379995348,None,164.44216269999743,None,right,2.132240999955684,164.64196499995887,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.3,0.0375,,,,,0,43,43,44,,,,,,,,,166.81045489996905,None,167.29485740000382,None,right,0.9587701000273228,167.49481209996156,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,-0.15,-0.01875,,,,,0,44,44,41,,,,,,,,,168.50088359997608,None,168.99679509998532,None,right,0.5369905999978073,169.19650479999837,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,-0.3,-0.0375,,,,,1,0,45,40,,,,,,,,,169.77810559998034,None,170.2646270999685,None,right,0.9818099999683909,170.4643544999999,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,0.15,0.01875,,,,,1,1,46,8,,,,,,,,,171.4865642999648,None,171.98304859997006,None,left,0.4474374999990687,172.18277909996687,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,0.3,0.0375,,,,,1,2,47,39,,,,,,,,,172.66418719996,None,173.15088279999327,None,left,0.8476398999919184,173.35050989995943,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/0.png,0,-0.3,-0.0375,,,,,1,3,48,20,,,,,,,,,174.2315292999847,None,174.71920849999879,None,right,0.6705617999541573,174.91897219995735,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,0.15,0.01875,,,,,1,4,49,38,,,,,,,,,175.63772709999466,None,176.1372824999853,None,right,2.2284837000188418,176.3370253999601,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,-0.3,-0.0375,,,,,1,5,50,35,,,,,,,,,178.60179059999064,None,179.09008549997816,None,right,0.5235888999886811,179.29001289996086,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,-0.15,-0.01875,,,,,1,6,51,41,,,,,,,,,179.8504175999551,None,180.34169410000322,None,right,1.2244497999781743,180.54100539995125,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r8.png,8,0.0,0.0,,,,,1,7,52,42,,,,,,,,,181.80322959995829,None,182.29317369998898,None,right,0.5045503000146709,182.49305170000298,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/l4.png,-4,0.3,0.0375,,,,,1,8,53,9,,,,,,,,,183.0362759999698,None,183.52808819996426,None,left,0.9504616999765858,183.72769459994743,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r1.png,1,0.0,0.0,,,,,1,9,54,27,,,,,,,,,184.71938519994728,None,185.21320939995348,None,left,1.8727694999543019,185.41275859996676,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
images/r4.png,4,0.0,0.0,,,,,1,10,55,37,,,,,,,,,187.3364714999916,None,187.83222979999846,None,right,1.5097070999909192,188.03188549994957,None,,,,,,,,,,,,,04,001,2020_Nov_25_1917,lm,2020.2.8,59.93701819014226,
